locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems
1336740,Quan Catering,Truck,3285000,BRYANT ST: 04TH ST \ I-80 E OFF RAMP to 05TH ST \ I-80 E ON RAMP (600 - 699),645 BRYANT ST,3777051,3777,51,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1585965,Curry Up Now,Truck,3422000,,225 BUSH ST,289001,289,1,21MFF-00149,EXPIRED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi
1332946,Mini Mobile Food Catering,Truck,699001,16TH ST: OWENS ST to 07TH ST \ MISSISSIPPI ST (700 - 899),701 16TH ST,8723001,8723,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1733728,MOMO INNOVATION LLC,Truck,3527000,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,0261010A,261,010A,23MFF-00027,APPROVED,Noodles: Meat & Drinks
1735100,Think is Good Inc.,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,23MFF-00033,APPROVED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
1591812,Flavors of Africa,Truck,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,22MFF-00017,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.
1723821,Natan's Catering,Truck,698000,16TH ST: 04TH ST to OWENS ST (600 - 699),600 16TH ST,8718001,8718,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
963991,Singh Brothers Ice Cream,Truck,6671000,HARBOR RD: NORTHRIDGE RD to INGALLS ST (1 - 299),297 HARBOR RD,4712008,4712,8,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1336733,Quan Catering,Truck,198101,03RD ST: ARTHUR AVE \ CARGO WAY to BURKE AVE (3401 - 3499) -- EAST --,3433 03RD ST,5203023,5203,23,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1723803,Natan's Catering,Truck,10658000,POTRERO AVE: 10TH ST \ BRANNAN ST \ DIVISION ST to ALAMEDA ST (1 - 99),66 POTRERO AVE,3906004,3906,4,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1733450,Papalote Inc.,Truck,107000,01ST ST: HOWARD ST to TEHAMA ST (200 - 231),505 HOWARD ST,3736183,3736,183,23MFF-00024,APPROVED,Mexican
1332945,Mini Mobile Food Catering,Truck,6711000,HARRISON ST: FREMONT ST \ I-80 W OFF RAMP to 01ST ST \ I-80 E ON RAMP (400 - 499),401 HARRISON ST,3765001,3765,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1163797,"SOHOMEI, LLC",Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1570 BURKE AVE,5203066,5203,66,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1723814,Natan's Catering,Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1580 BURKE AVE,5203066,5203,66,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1336730,Quan Catering,Truck,135000,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,3735063,3735,63,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1219753,"Kabob Trolley, LLC",Truck,9101000,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1133 MISSION ST,3727096,3727,96,18MFF-0106,REQUESTED,Halal Gyro and Cheesesteaks
1575178,Park's Catering,Truck,10927000,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),220 RANKIN ST,5215016,5215,16,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1575199,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),300 NEWHALL ST,5203041,5203,41,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1732705,Roadside Rotisserie Corporation / Country Grill,Truck,3527000,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),300 CALIFORNIA ST,238002,238,2,23MFF-00023,APPROVED,Rotisserie Chicken
963995,Singh Brothers Ice Cream,Truck,4938000,KISKA RD: DORMITORY RD \ KIRKWOOD AVE to REARDON RD (141 - 199),195 KISKA RD,4700052,4700,52,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1723827,Natan's Catering,Truck,8694000,MARIN ST: START: 800-949 BLOCK to MICHIGAN ST (800 - 899),888 MARIN ST,4358007,4358,7,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1723799,Natan's Catering,Truck,0,,Assessors Block 5369/Lot003,5369003,5369,3,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1535608,Wu Wei LLC dba MoBowl,Truck,4972000,DRUMM ST: CLAY ST to WASHINGTON ST (200 - 299),253 DRUMM ST,203013,203,13,21MFF-00076,EXPIRED,Various types of meat: veggie: and seafood bowls.
1587522,"Chairman SF, LLC",Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),400 CALIFORNIA ST,238003,238,3,21MFF-00153,EXPIRED,Baos: bowls & drinks
1336729,Quan Catering,Truck,11741000,SELBY ST: HUDSON AVE to INNES AVE (500 - 599),500 SELBY ST,5264049,5264,49,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1575188,Park's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2020 EVANS AVE,4347A000,4347A,0,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1591781,Street Meet,Truck,9053000,MINNESOTA ST: 04TH ST \ MARIPOSA ST to 18TH ST (500 - 599),777 MARIPOSA ST,3997004,3997,4,22MFF-00010,SUSPEND,Tacos: burritos: quesadillas: tortas: asada fries: nachos
1738309,San Francisco's Hometown Creamery,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,292002,292,2,23MFF-00039,APPROVED,Ice Cream: Waffle Cones
1332939,Mini Mobile Food Catering,Truck,414000,08TH ST: HERON ST to HARRISON ST (350 - 399),350 08TH ST,3756003,3756,3,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1591787,Faith Sandwich,Push Cart,9090000,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),560 MISSION ST,3708095,3708,95,22MFF-00014,SUSPEND,BBQ PORK SANDWICHGRILL CHICKEN SANDWICHSHIRMP SPRING ROLLSBBQ PORK OVER RICEGRILL CHICKEN OVER RICEBBQ PORK VERMICELLIGRILL CHICKEN VERMICELLIBBQ PORK GARLIC NOODLEGRILL CHICKEN GARLIC NOODLENEW ITEMS:MASALA DOSAPANNER DOSACHICKEN CURRY & RICECHICKEN STEWRICE OR DOSAADD CHEESEADD GHEE
1163801,"SOHOMEI, LLC",Truck,5178000,ELLIS ST: LARKIN ST to POLK ST (700 - 799),730 ELLIS ST,717006,717,6,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1738642,Eva's Catering,Truck,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1199 ORTEGA ST,1404045,1404,45,23MFF-00042,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
1332937,Mini Mobile Food Catering,Truck,2955000,BERRY ST: 05TH ST to 06TH ST (300 - 399),355 BERRY ST,8707003,8707,3,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1585964,Curry Up Now,Truck,24571000,WASHINGTON ST: DRUMM ST intersection,370 DRUMM ST,201012,201,12,21MFF-00149,EXPIRED,Chicken Tiki Masala Burritos: Paneer Tiki Masala Burritos: Samosas: Mango Lassi
963985,Singh Brothers Ice Cream,Truck,2710000,BANCROFT AVE: JENNINGS ST to KEITH ST (1500 - 1599),1562 BANCROFT AVE,4849006,4849,6,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1568972,Fillmore Square,Truck,5543000,FILLMORE ST: TURK ST to EDDY ST (1200 - 1299),1290 FILLMORE ST,749019,749,19,21MFF-00101,EXPIRED,Breakfast and lunch items with a nod to various cultures
1090091,Tacos El Primo,Truck,7480000,JENNINGS ST: WALLACE AVE to YOSEMITE AVE (2200 - 2299),1495 WALLACE AVE,4831003,4831,3,18MFF-0006,REQUESTED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea
953198,"Santana ESG, Inc.",Truck,11834000,SHOTWELL ST: 16TH ST to 17TH ST (200 - 299),200 SHOTWELL ST,3571014,3571,14,17MFF-0169,EXPIRED,Tacos: Burritos: Tortas: Quesadillas: Mexican Drinks: Aguas Frescas
1658388,BH & MT LLC,Truck,10770000,PRESIDIO AVE: POST ST to GEARY BLVD (900 - 999),949 PRESIDIO AVE,1072001,1072,1,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1332947,Mini Mobile Food Catering,Truck,7740000,KANSAS ST: CESAR CHAVEZ ST to MARIN ST (1600 - 1699),Assessors Block 4341/Lot001,4341001,4341,1,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1591786,Faith Sandwich,Push Cart,8627000,MAIN ST: MARKET ST to MISSION ST (1 - 99),58 MAIN ST,3711005,3711,5,22MFF-00013,SUSPEND,BBQ PORK SANDWICHGRILL CHICKEN SANDWICHSHIRMP SPRING ROLLSBBQ PORK OVER RICEGRILL CHICKEN OVER RICEBBQ PORK VERMICELLIGRILL CHICKEN VERMICELLIBBQ PORK GARLIC NOODLEGRILL CHICKEN GARLIC NOODLENEW ITEMS:MASALA DOSAPANNER DOSACHICKEN CURRY & RICECHICKEN STEWRICE OR DOSAADD CHEESEADD GHEE
1744302,"BOWL'D ACAI, LLC.",Truck,2753000,BATTERY ST: PINE ST to CALIFORNIA ST (100 - 199),111 BATTERY ST,261005,261,5,23MFF-00048,APPROVED,Acai Bowls: Smoothies: Juices
1575184,Park's Catering,Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1575 BURKE AVE,5203043,5203,43,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1174531,CC Acquisition LLC,Push Cart,8742101,MARKET ST: 01ST ST \ BUSH ST to 02ND ST (501 - 599) -- SOUTH --,525 MARKET ST,3708056,3708,56,18MFF-0034,REQUESTED,Chai Tea
1741750,San Pancho's Tacos,Truck,2178101,ALEMANY BLVD: SICKLES AVE to I-280 N ON RAMP \ REGENT ST \ SAN JOSE AVE (3101 - 3155) -- SOUTH --,3119 ALEMANY BLVD,7146002,7146,2,23MFF-00047,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
1732543,Bonito Poke,Truck,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),400 HOWARD ST,3720008,3720,8,23MFF-00016,REQUESTED,Bonito Poke Bowls & Various Drinks
1591828,Cochinita,Truck,358000,07TH AVE: LINCOLN WAY to HUGO ST (1200 - 1246),1219 07TH AVE,1743003,1743,3,22MFF-00021,EXPIRED,Mexican Food: Yucatan Food: Street Food
1744307,"BOWL'D ACAI, LLC.",Truck,3357000,BUCHANAN ST: NORTH POINT ST to BEACH ST \ LOWER FORT MASON ST \ MARINA BLVD (3700 - 3799),15 MARINA BLVD,446002,446,2,23MFF-00050,APPROVED,Acai Bowls: Poke Bowls: Smoothies: Juices
1332938,Mini Mobile Food Catering,Truck,2956003,BERRY ST: 06TH ST to KING ST (400 - 431),420 BERRY ST,8703006,8703,6,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1658391,BH & MT LLC,Truck,6563000,GROVE ST: SCOTT ST to DIVISADERO ST (1200 - 1299),1265 GROVE ST,1202002D,1202,002D,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1735061,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,7,23MFF-00031,APPROVED,Tacos: Burritos: Tortas: Quesadillas: Sodas: Chips: Candy
1658695,Bonito Poke,Truck,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),400 HOWARD ST,3720008,3720,8,22MFF-00071,REQUESTED,Bonito Poke Bowls & Various Drinks
1575192,Park's Catering,Truck,8483000,LOOMIS ST: BARNEVELD AVE \ MCKINNON AVE to OAKDALE AVE (1 - 99),10 LOOMIS ST,5560100,5560,100,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1723805,Natan's Catering,Truck,1232000,,435 23RD ST,4232010,4232,10,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1741553,Philz Coffee Truck,Truck,10455000,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,261007,261,7,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries
1741751,San Pancho's Tacos,Truck,2801101,BAY SHORE BLVD: CORTLAND AVE to WATERLOO ST (491 - 499) -- EAST --,491 BAY SHORE BLVD,5598008,5598,8,23MFF-00047,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
1735285,El Alambre,Truck,580000,14TH ST: FOLSOM ST to SHOTWELL ST (100 - 150),1800 FOLSOM ST,3549083,3549,83,23MFF-00034,APPROVED,Tacos: Burritos: Quesadillas: Tortas
963980,Singh Brothers Ice Cream,Truck,6548000,GRIFFITH ST: INGERSON AVE to JAMESTOWN AVE (2900 - 2999),2900 GRIFFITH ST,4973001,4973,1,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1163785,"SOHOMEI, LLC",Truck,5073000,EDDY ST: STEINER ST to PIERCE ST (1600 - 1699),1652 EDDY ST,0730 044,730,44,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1732692,Roadside Rotisserie Corporation / Country Grill,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 POST ST,311015,311,15,23MFF-00019,APPROVED,Rotisserie chicken: pork loin: ribs: chicken salad wrap: potatoes: roasted seasonal vegetables kale salad: beverages.
963997,Singh Brothers Ice Cream,Truck,9602000,NIBBI CT: GILLETTE AVE to END: 1-99 BLOCK (1 - 99),35 NIBBI CT,5079004,5079,4,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1535606,Wu Wei LLC dba MoBowl,Truck,12160001,STEUART LN: HOWARD ST \ STEUART ST to END: 200-249 BLOCK (1 - 99),75 HOWARD ST,3741031,3741,31,21MFF-00076,EXPIRED,Various types of meat: veggie: and seafood bowls.
963988,Singh Brothers Ice Cream,Truck,10218000,PALOU AVE: HAWES ST to INGALLS ST (1100 - 1199),1101 PALOU AVE,4757024,4757,24,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1336737,Quan Catering,Truck,2826101,BAY SHORE BLVD: VISITACION AVE to SUNNYDALE AVE (2501 - 2599) -- EAST --,2555 BAY SHORE BLVD,5100002,5100,2,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1591846,Golden Gate Halal Food,Push Cart,8749101,MARKET ST: MASON ST \ TURK ST to 06TH ST \ GOLDEN GATE AVE \ TAYLOR ST (943 - 999) -- SOUTH --,979 MARKET ST,3704068,3704,68,22MFF-00025,SUSPEND,Pulao Plates & Sandwiches: Various Drinks
1163787,"SOHOMEI, LLC",Truck,8848000,MASONIC AVE: MCALLISTER ST to FULTON ST (500 - 599),500 MASONIC AVE,1175018,1175,18,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1058991,Ruru Juice LLC,Truck,9092000,MISSION ST: 02ND ST to NEW MONTGOMERY ST (600 - 634),601 MISSION ST,3722001,3722,1,17MFF-0198,REQUESTED,Smoothies: Juice: Salads: Fruit Bowls: Soup
1587521,"Chairman SF, LLC",Truck,147000,02ND ST: BRANNAN ST to TOWNSEND ST (600 - 699),625 02ND ST,3789007,3789,7,21MFF-00152,EXPIRED,Baos: bowls & drinks
1535609,Wu Wei LLC dba MoBowl,Truck,5875000,FRONT ST: VALLEJO ST to GREEN ST (900 - 999),900 FRONT ST,137001,137,1,21MFF-00076,EXPIRED,Various types of meat: veggie: and seafood bowls.
1658364,Treats by the Bay LLC,Truck,5170000,ELLIS ST: POWELL ST to CYRIL MAGNIN ST (100 - 148),120 ELLIS ST,326005,326,5,22MFF-00055,EXPIRED,Prepackaged Kettlecorn
1163794,"SOHOMEI, LLC",Truck,9101000,MISSION ST: 07TH ST to ANGELOS ALY \ JULIA ST (1100 - 1165),1118 MISSION ST,3702032,3702,32,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1729511,Senor Sisig,Truck,132000,02ND ST: MISSION ST to MINNA ST (100 - 130),120 02ND ST,3722002,3722,2,23MFF-00010,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates
1747910,El Alambre,Truck,5816000,FRANKLIN ST: OFARRELL ST \ STARR KING WAY to MYRTLE ST (1100 - 1149),1100 FRANKLIN ST,714015,714,15,23MFF-00053,APPROVED,Tacos: Burritos: Quesadillas: Nachos Alambres: Choice of Meat: Carne Asada: Carnitas: Pollo: Al Pastor Camarones
1750909,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,24892000,STOCKTON ST: 04TH ST \ ELLIS ST \ MARKET ST intersection,800 MARKET ST,329001,329,1,23MFF-00055,APPROVED,Soft pretzels: hot dogs: sausages: chips: popcorn: sodea: coffee: espresso: cappucino: pastries: ice cream: Italian sausages: shish-ka-bob: churros: juice: water: various drinks.
1723822,Natan's Catering,Truck,7164000,,Assessors Block 8722/Lot001,8722001,8722,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1575180,Park's Catering,Truck,202101,03RD ST: EVANS AVE to FAIRFAX AVE (3801 - 3899) -- EAST --,3801 03RD ST,5242002,5242,2,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1575191,Park's Catering,Truck,7254000,INNES AVE: ARELIOUS WALKER DR to GRIFFITH ST (800 - 899),Assessors Block 4645/Lot015,4645015,4645,15,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1735098,Think is Good Inc.,Truck,10454000,PINE ST: FRONT ST to BATTERY ST (100 - 199),100 PINE ST,262020,262,20,23MFF-00033,APPROVED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
1732541,Bonito Poke,Truck,107000,01ST ST: HOWARD ST to TEHAMA ST (200 - 231),505 HOWARD ST,3736183,3736,183,23MFF-00016,REQUESTED,Bonito Poke Bowls & Various Drinks
1658393,BH & MT LLC,Truck,736000,16TH ST: SPENCER ST to DOLORES ST (3220 - 3299),3253 16TH ST,3567039,3567,39,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1575197,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),330 NEWHALL ST,5203035,5203,35,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1332943,Mini Mobile Food Catering,Truck,5864000,FREMONT ST: FOLSOM ST to HARRISON ST \ I-80 W OFF RAMP (300 - 399),350 FREMONT ST,3748007,3748,7,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1732577,Plaza Garibaldy,Truck,7033000,HOWARD ST: 01ST ST to MALDEN ALY (500 - 589),540 HOWARD ST,3721015,3721,15,23MFF-00017,APPROVED,Tacos: burritos: quesadillas
1591829,Cochinita,Truck,4806101,DIVISADERO ST: MCALLISTER ST to GOLDEN GATE AVE (901 - 999) -- WEST --,999 DIVISADERO ST,1156034,1156,34,22MFF-00021,EXPIRED,Mexican Food: Yucatan Food: Street Food
1332940,Mini Mobile Food Catering,Truck,515000,11TH ST: FOLSOM ST to HARRISON ST (300 - 399),355 11TH ST,3520027,3520,27,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
963998,Singh Brothers Ice Cream,Truck,10327000,PENINSULA AVE: BLANKEN AVE to LATHROP AVE (300 - 399),360 PENINSULA AVE,5083009,5083,9,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1723817,Natan's Catering,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1738315,San Francisco's Hometown Creamery,Truck,10628000,POST ST: STOCKTON ST to POWELL ST (300 - 399),340 POST ST,295005,295,5,23MFF-00041,APPROVED,Ice Cream: Waffle Cones
1587524,"Chairman SF, LLC",Truck,9089000,MISSION ST: ECKER ST to SHAW ALY (521 - 548),536 MISSION ST,3708098,3708,98,21MFF-00153,EXPIRED,Baos: bowls & drinks
1591832,Shah's Halal Food,Push Cart,8742202,MARKET ST: BATTERY ST to SUTTER ST (540 - 558) -- NORTH --,532 MARKET ST,290012,290,12,22MFF-00022,SUSPEND,Chicken Gyro: Lamb Gyro: Chiken Gyro Plate: Lamb Gyro Plate: Combination Gyro Plate.
