locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems
1332942,Mini Mobile Food Catering,Truck,5861002,FREMONT ST: TRANSBAY HUMP to NATOMA ST (116 - 169),147 FREMONT ST,3719003,3719,3,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1658394,BH & MT LLC,Truck,8764101,MARKET ST: CHURCH ST to 15TH ST (2101 - 2195) -- SOUTH --,2145 MARKET ST,3543003B,3543,003B,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1730563,DO UC US Mobile Catering,Truck,10293000,PARNASSUS AVE: HILLWAY AVE to 03RD AVE (400 - 599),400 PARNASSUS AVE,1756001,1756,1,23MFF-00015,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
1351263,Isidoro Serrano,Push Cart,1108000,21ST ST: CAPP ST to MISSION ST (3150 - 3199),2501 MISSION ST,3615070,3615,70,19MFF-00075,EXPIRED,
1199051,Munch India,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),400 CALIFORNIA ST,239003,239,3,18MFF-0088,REQUESTED,Daily rotating menus consisting of various local & organic vegetable: poultry: meat: seafood : rice & bread dishes.
1568970,Fillmore Square,Truck,13536101,WEBSTER ST: EDDY ST to ELLIS ST (1201 - 1299) -- WEST --,1223 WEBSTER ST,732001,732,1,21MFF-00101,EXPIRED,Breakfast and lunch items with a nod to various cultures
1591810,Flavors of Africa,Truck,7032000,HOWARD ST: FREMONT ST to 01ST ST (400 - 499),405 HOWARD ST,3737030,3737,30,22MFF-00017,SUSPEND,Meat and vegi rice bowls: meat and vegi salad bowls: meat and vegi wraps: drinks and juices.
1527317,"BOWL'D ACAI, LLC.",Truck,9698000,NORTH POINT ST: LAGUNA ST to BUCHANAN ST (1500 - 1599),15 MARINA BLVD,446002,446,2,21MFF-00009,REQUESTED,Acai Bowls: Poke Bowls: Smoothies: Juices
1746284,CARDONA'S FOOD TRUCK,Truck,9114000,MISSION ST: 14TH ST to 15TH ST (1800 - 1899),1800 MISSION ST,3547001,3547,1,23MFF-00052,APPROVED,Tacos: Burritos: Quesadillas: Various Drinks
1729534,Senor Sisig,Truck,3143000,BROADWAY: DAVIS ST to FRONT ST (50 - 99),90 BROADWAY,140007,140,7,23MFF-00012,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.
1738646,Eva's Catering,Truck,5340000,EVANS AVE: NAPOLEON ST \ TOLAND ST to MARIN ST (2000 - 2099),2045 EVANS AVE,4343002,4343,2,23MFF-00042,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
